	发表日期	英文题目	中文题目（未审校）	文献类型	作者	通讯作者单位	期刊	IF	深大是否订阅	文献网址
23	2019-03-27	Why the US–China trade war spells disaster for the Amazon	为什么中美贸易战会给亚马逊带来灾难	COMMENT	Peter Alexander,,Calum Brown,,Frances Cossar,,Roslyn C. Henry &,Mark Rounsevell,Richard Fuchs	Richard Fuchs is a senior research fellow at the Institute of Meteorology and Climate Research, Atmospheric Environmental Research (IMK-IFU), Karlsruhe Institute of Technology, Garmisch-Partenkirchen, Germany.	NATURE	41.577	Y	https://www.nature.com/articles/d41586-019-00896-2
24	2019-03-27	North Korean physicists forge rare exchange deal with Italian university	朝鲜物理学家与意大利大学达成罕见的交流协议	NEWS	Alison Abbott		NATURE	41.577	Y	https://www.nature.com/articles/d41586-019-00990-5
25	2019-03-27	Targeting cancer cell metabolism in glioblastoma	针对胶质母细胞瘤的癌细胞代谢	RESEARCH HIGHLIGHT	Sarah Crunkhorn		NATURE REVIEWS DRUG DISCOVERY	50.167	Y	https://www.nature.com/articles/d41573-019-00054-3
26	2019-03-27	Clinical metagenomics	临床宏基因组	Review Article	Charles Y. Chiu,Steven A. Miller	Charles Y. Chiu: Department of Laboratory Medicine, University of California, San Francisco, CA, USA//Department of Medicine, Division of Infectious Diseases, University of California, San Francisco, CA, USA	NATURE REVIEWS GENETICS	41.465	Y	https://www.nature.com/articles/s41576-019-0113-7
27	2019-03-27	Resolving genetic heterogeneity in cancer	解决癌症的遗传异质性	Review Article	Samra Turajlic,Andrea Sottoriva,Trevor Graham,Charles Swanton	Trevor Graham: Tumour Biology, Evolution and Cancer Laboratory, Barts Cancer Institute, Queen Mary University of London, London, UK;Charles Swanton: Cancer Evolution and Genome Instability Laboratory, Francis Crick Institute, London, UK//Cancer Research UK Lung Cancer Centre of Excellence London, University College London Cancer Institute, London, UK//Department of Medical Oncology, University College London Hospitals, London, UK	NATURE REVIEWS GENETICS	41.465	Y	https://www.nature.com/articles/s41576-019-0114-6
28	2019-03-27	Scanning for determinullts of Zika virus host tropism	扫描决定寨卡病毒宿主趋向性	Research Highlight	Dorothy Clyde	Dorothy Clyde: Nature Reviews Genetics, http://www.nature.com/nrg/	NATURE REVIEWS GENETICS	41.465	Y	https://www.nature.com/articles/s41576-019-0120-8
29	2019-03-27	Gut microbial short-chain fatty acids and the risk of diabetes	肠道微生物短链脂肪酸与糖尿病的风险	News & Views	Wei Ling Lau,Nosratola D. Vaziri	Wei Ling Lau: Division of Nephrology, Department of Medicine, University of California, Irvine, CA, USA;Nosratola D. Vaziri: Division of Nephrology, Department of Medicine, University of California, Irvine, CA, USA	Nature Reviews Nephrology	14.101	N	https://www.nature.com/articles/s41581-019-0142-7
30	2019-03-27	Epigenetic regulation of the innate immune response to infection	对感染的先天免疫反应的表观遗传调控	Review Article	Qian Zhang,Xuetao Cao	Qian Zhang: College of Life Science, Nankai University, Tianjin, China//National Key Laboratory of Medical Immunology & Institute of Immunology, Second Military Medical University, Shanghai, China;Xuetao Cao: College of Life Science, Nankai University, Tianjin, China//National Key Laboratory of Medical Immunology & Institute of Immunology, Second Military Medical University, Shanghai, China//Department of Immunology & Center for Immunotherapy, Institute of Basic Medical Sciences, Peking Union Medical College, Chinese Academy of Medical Sciences, Beijing, China	NATURE REVIEWS IMMUNOLOGY	41.982	Y	https://www.nature.com/articles/s41577-019-0151-6
31	2019-03-27	Arginine dimethylation is increased in patients with ALS and can predict disease progression	精氨酸二甲基化在ALS患者中增加，可以预测疾病的进展	In Brief	Rebecca Kelsey	Rebecca Kelsey: Nature Reviews Neurology, http://www.nature.com/nrneurol/	Nature Reviews Neurology	19.819	N	https://www.nature.com/articles/s41582-019-0176-2
32	2019-03-27	Dimethyl fumarate is more effective than teriflunomide in preventing relapse in RRMS	富马酸二甲酯在预防RRMS复发方面比特氟米特更有效	In Brief	Rebecca Kelsey	Rebecca Kelsey: Nature Reviews Neurology, http://www.nature.com/nrneurol/	Nature Reviews Neurology	19.819	N	https://www.nature.com/articles/s41582-019-0177-1
33	2019-03-27	Increased α-synuclein levels in patients with sleep apnoea might be involved in PD pathogenesis	α-synuclein水平增加患者的睡眠呼吸暂停症可能参与PD的发病机制	In Brief	Rebecca Kelsey	Rebecca Kelsey: Nature Reviews Neurology, http://www.nature.com/nrneurol/	Nature Reviews Neurology	19.819	N	https://www.nature.com/articles/s41582-019-0175-3
34	2019-03-27	Atomically dispersed nickel–nitrogen–sulfur species anchored on porous carbon nullosheets for efficient water oxidation	原子分散的镍氮硫固载于多孔碳纳米片上，用于高效的水氧化	Article	Yang Hou,Ming Qiu,Min Gyu Kim,Pan Liu,Gyutae Nam,Tao Zhang,Xiaodong Zhuang,Bin Yang,Jaephil Cho,Mingwei Chen,Chris Yuan,Lecheng Lei,Xinliang Feng	Yang Hou: Key Laboratory of Biomass Chemical Engineering of Ministry of Education, College of Chemical and Biological Engineering, Zhejiang University, 310027, Hangzhou, China//Center for Advancing Electronics Dresden (cfaed) & Department of Chemistry and Food Chemistry, Technische Universitaet Dresden, 01062, Dresden, Germany;Xinliang Feng: Center for Advancing Electronics Dresden (cfaed) & Department of Chemistry and Food Chemistry, Technische Universitaet Dresden, 01062, Dresden, Germany	Nature Communications	12.353	Y	https://www.nature.com/articles/s41467-019-09394-5
35	2019-03-27	Systematic benchmarking of omics computational tools	组学计算工具的系统基准测试	Review Article	Serghei Mangul,Lana S. Martin,Brian L. Hill,Angela Ka-Mei Lam,Margaret G. Distler,Alex Zelikovsky,Eleazar Eskin,Jonathan Flint	Serghei Mangul: Department of Computer Science, University of California Los Angeles, 580 Portola Plaza, Los Angeles, CA, 90095, USA//Institute for Quantitative and Computational Biosciences, University of California Los Angeles, 611 Charles E Young Drive East, Los Angeles, CA, 90095, USA	Nature Communications	12.353	Y	https://www.nature.com/articles/s41467-019-09406-4
36	2019-03-27	Upconversion amplification through dielectric superlensing modulation	通过介质超透镜调制的上转换放大	Article	Liangliang Liang,Daniel B. L. Teh,Ngoc-Duy Dinh,Weiqiang Chen,Qiushui Chen,Yiming Wu,Srikanta Chowdhury,Akihiro Yamanaka,Tze Chien Sum,Chia-Hung Chen,Nitish V. Thakor,Angelo H. All,Xiaogang Liu	Xiaogang Liu: Department of Chemistry, National University of Singapore, Singapore, 117543, Singapore//Singapore Institute of Neurotechnology (SINAPSE), National University of Singapore, Singapore, 117456, Singapore//Center for Functional Materials, National University of Singapore Suzhou Research Institute, Suzhou, Jiangsu, 215123, China	Nature Communications	12.353	Y	https://www.nature.com/articles/s41467-019-09345-0
37	2019-03-27	Self-sharpening induces jet-like structure in seafloor gravity currents	自锐化在海底重力流中诱导射流状结构	Article	R. M. Dorrell,J. Peakall,S. E. Darby,D. R. Parsons,J. Johnson,E. J. Sumner,R. B. Wynn,E. Özsoy,D. Tezcan	R. M. Dorrell: Energy and Environment Institute, University of Hull, Hull, HU6 7RX, UK	Nature Communications	12.353	Y	https://www.nature.com/articles/s41467-019-09254-2
38	2019-03-27	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	磺胺恶唑通过靶向内皮素受体A抑制细胞外小泡的分泌	Article	Eun-Ju Im,Chan-Hyeong Lee,Pyong-Gon Moon,Gunassekaran Gowri Rangaswamy,Byungheon Lee,Jae Man Lee,Jae-Chul Lee,Jun-Goo Jee,Jong-Sup Bae,Taeg-Kyu Kwon,Keon-Wook Kang,Myeong-Seon Jeong,Joo-Eun Lee,Hyun-Suk Jung,Hyun-Joo Ro,Sangmi Jun,Wonku Kang,Seung-Yong Seo,Young-Eun Cho,Byoung-Joon Song,Moon-Chang Baek	Moon-Chang Baek: Department of Molecular Medicine, CMRI, Exosome Convergence Research Center (ECRC), School of Medicine, Kyungpook National University, Daegu, 41944, Republic of Korea	Nature Communications	12.353	Y	https://www.nature.com/articles/s41467-019-09387-4
39	2019-03-27	Myoglobinopathy is an adult-onset autosomal dominullt myopathy with characteristic sarcoplasmic inclusions	肌红蛋白病是一种具有特征性肌浆包涵体的成年性常染色体显性肌病	Article	Montse Olivé,Martin Engvall,Gianina Ravenscroft,Macarena Cabrera-Serrano,Hong Jiao,Carlo Augusto Bortolotti,Marcello Pignataro,Matteo Lambrughi,Haibo Jiang,Alistair R. R. Forrest,Núria Benseny-Cases,Stefan Hofbauer,Christian Obinger,Gianulltonio Battistuzzi,Marzia Bellei,Marco Borsari,Giulia Di Rocco,Helena M. Viola,Livia C. Hool,Josep Cladera,Kristina Lagerstedt-Robinson,Fengqing Xiang,Anna Wredenberg,Francesc Miralles,Juan José Baiges,Edoardo Malfatti,Norma B. Romero,Nathalie Streichenberger,Christophe Vial,Kristl G. Claeys,Chiara S. M. Straathof,An Goris,Christoph Freyer,Martin Lammens,Guillaume Bassez,Juha Kere,Paula Clemente,Thomas Sejersen,Bjarne Udd,Noemí Vidal,Isidre Ferrer,Lars Edström,Anna Wedell,Nigel G. Laing	Montse Olivé: Neuropathology Unit, Department of Pathology and Neuromuscular Unit, Department of Neurology, IDIBELL-Hospital de Bellvitge, Hospitalet de Llobregat, Barcelona, 08907, Spain;Nigel G. Laing: Centre for Medical Research, University of Western Australia, Harry Perkins Institute of Medical Research, Perth, 6000, WA, Australia	Nature Communications	12.353	Y	https://www.nature.com/articles/s41467-019-09111-2
40	2019-03-27	Systematic benchmarking of omics computational tools	组学计算工具的系统基准测试	Review Article	Serghei Mangul,Lana S. Martin,Brian L. Hill,Angela Ka-Mei Lam,Margaret G. Distler,Alex Zelikovsky,Eleazar Eskin,Jonathan Flint	Serghei Mangul: Department of Computer Science, University of California Los Angeles, 580 Portola Plaza, Los Angeles, CA, 90095, USA//Institute for Quantitative and Computational Biosciences, University of California Los Angeles, 611 Charles E Young Drive East, Los Angeles, CA, 90095, USA	Nature Communications	12.353	Y	https://www.nature.com/articles/s41467-019-09406-4
41	2019-03-27	Sulfisoxazole inhibits the secretion of small extracellular vesicles by targeting the endothelin receptor A	磺胺恶唑通过靶向内皮素受体A抑制细胞外小泡的分泌	Article	Eun-Ju Im,Chan-Hyeong Lee,Pyong-Gon Moon,Gunassekaran Gowri Rangaswamy,Byungheon Lee,Jae Man Lee,Jae-Chul Lee,Jun-Goo Jee,Jong-Sup Bae,Taeg-Kyu Kwon,Keon-Wook Kang,Myeong-Seon Jeong,Joo-Eun Lee,Hyun-Suk Jung,Hyun-Joo Ro,Sangmi Jun,Wonku Kang,Seung-Yong Seo,Young-Eun Cho,Byoung-Joon Song,Moon-Chang Baek	Moon-Chang Baek: Department of Molecular Medicine, CMRI, Exosome Convergence Research Center (ECRC), School of Medicine, Kyungpook National University, Daegu, 41944, Republic of Korea	Nature Communications	12.353	Y	https://www.nature.com/articles/s41467-019-09387-4
42	2019-03-27	Myoglobinopathy is an adult-onset autosomal dominullt myopathy with characteristic sarcoplasmic inclusions	肌红蛋白病是一种具有特征性肌浆包涵体的成年性常染色体显性肌病	Article	Montse Olivé,Martin Engvall,Gianina Ravenscroft,Macarena Cabrera-Serrano,Hong Jiao,Carlo Augusto Bortolotti,Marcello Pignataro,Matteo Lambrughi,Haibo Jiang,Alistair R. R. Forrest,Núria Benseny-Cases,Stefan Hofbauer,Christian Obinger,Gianulltonio Battistuzzi,Marzia Bellei,Marco Borsari,Giulia Di Rocco,Helena M. Viola,Livia C. Hool,Josep Cladera,Kristina Lagerstedt-Robinson,Fengqing Xiang,Anna Wredenberg,Francesc Miralles,Juan José Baiges,Edoardo Malfatti,Norma B. Romero,Nathalie Streichenberger,Christophe Vial,Kristl G. Claeys,Chiara S. M. Straathof,An Goris,Christoph Freyer,Martin Lammens,Guillaume Bassez,Juha Kere,Paula Clemente,Thomas Sejersen,Bjarne Udd,Noemí Vidal,Isidre Ferrer,Lars Edström,Anna Wedell,Nigel G. Laing	Montse Olivé: Neuropathology Unit, Department of Pathology and Neuromuscular Unit, Department of Neurology, IDIBELL-Hospital de Bellvitge, Hospitalet de Llobregat, Barcelona, 08907, Spain;Nigel G. Laing: Centre for Medical Research, University of Western Australia, Harry Perkins Institute of Medical Research, Perth, 6000, WA, Australia	Nature Communications	12.353	Y	https://www.nature.com/articles/s41467-019-09111-2
43	2019-03-27	FBXW2 suppresses migration and invasion of lung cancer cells via promoting β-catenin ubiquitylation and degradation	FBXW2抑制肺癌细胞的迁移和入侵通过促进β-catenin ubiquitylation和退化	Article	Fei Yang,Jie Xu,Hua Li,Mingjia Tan,Xiufang Xiong,Yi Sun	Yi Sun: Cancer Institute of the Second Affiliated Hospital, and Institute of Translational Medicine, Zhejiang University School of Medicine, 310029, Hangzhou, China//Division of Radiation and Cancer Biology, Departments of Radiation Oncology, University of Michigan, 4424B MS-1, 1301 Catherine Street, Ann Arbor, MI, MI48109, USA	Nature Communications	12.353	Y	https://www.nature.com/articles/s41467-019-09289-5
44	2019-03-27	Reality on the ground	现实情况	Research Highlight	Ryan Scarrow	Ryan Scarrow: Nature Plants, https://www.nature.com/nplants	Nature Plants	11.471	N	https://www.nature.com/articles/s41477-019-0411-2
45	2019-03-27	Unbreathing seal	Unbreathing密封	Research Highlight	Guillaume Tena	Guillaume Tena: Nature Plants, https://www.nature.com/nplants	Nature Plants	11.471	N	https://www.nature.com/articles/s41477-019-0414-z
46	2019-03-27	Phase separation tunes signal transduction	相分离调节信号转导	Research Highlight	Paulina Strzyz	Paulina Strzyz: Nature Reviews Molecular Cell Biology, http://www.nature.com/nrm/	NATURE REVIEWS MOLECULAR CELL BIOLOGY	35.612	Y	https://www.nature.com/articles/s41580-019-0121-7
47	2019-03-27	Hypoxia makes its mark on histones	缺氧会在组蛋白上留下印记	Research Highlight	Paulina Strzyz	Paulina Strzyz: Nature Reviews Molecular Cell Biology, http://www.nature.com/nrm/	NATURE REVIEWS MOLECULAR CELL BIOLOGY	35.612	Y	https://www.nature.com/articles/s41580-019-0122-6
