发表日期	英文题目	中文题目（未审校）	文献类型	作者	通讯作者单位	期刊	IF	深大是否订阅	文献网址
43525	Modularity and predicted functions of the global sponge-microbiome network	全球海绵微生物群落网络的模块化和预测功能	Article	"Miguel Lurgi, Torsten Thomas, Bernd Wemheuer, Nicole S. Webster & Jose M. Montoya "		Nature Communications	12.353	是	https://www.nature.com/articles/s41467-019-08925-4
43525	State-of-the-art global models underestimate impacts from climate extremes	最先进的全球模型低估了极端气候的影响	Article	"Jacob Schewe, Simon N. Gosling, Christopher Reyer, Fang Zhao, Philippe Ciais, Joshua Elliott, Louis Francois, Veronika Huber, Heike K. Lotze, Sonia I. Seneviratne, Michelle T. H. van Vliet, Robert Vautard, Yoshihide Wada, Lutz Breuer, Matthias Büchner, David A. Carozza, Jinfeng Chang, Marta Coll, Delphine Deryng, Allard de Wit, Tyler D. Eddy, Christian Folberth, Katja Frieler, Andrew D. Friend, Dieter Gerten, Lukas Gudmundsson, Naota Hanasaki, Akihiko Ito, Nikolay Khabarov, Hyungjun Kim, Peter Lawrence, Catherine Morfopoulos, Christoph Müller, Hannes Müller Schmied, René Orth, Sebastian Ostberg, Yadu Pokhrel, Thomas A. M. Pugh, Gen Sakurai, Yusuke Satoh, Erwin Schmid, Tobias Stacke, Jeroen Steenbeek, J?rg Steinkamp, Qiuhong Tang, Hanqin Tian, Derek P. Tittensor, Jan Volkholz, Xuhui Wang & Lila Warszawski"		Nature Communications	12.353	是	https://www.nature.com/articles/s41467-019-08745-6
43525	Dynamic pigmentary and structural coloration within cephalopod chromatophore organs	头足类色素细胞器官的动态色素沉积和结构染色	Article	"Thomas L. Williams, Stephen L. Senft, Jingjie Yeo, Francisco J. Martín-Martínez, Alan M. Kuzirian, Camille A. Martin, Christopher W. DiBona, Chun-Teh Chen, Sean R. Dinneen, Hieu T. Nguyen, Conor M. Gomes, Joshua J. C. Rosenthal, Matthew D. MacManes, Feixia Chu, Markus J. Buehler, Roger T. Hanlon & Leila F. Deravi "		Nature Communications	12.353	是	https://www.nature.com/articles/s41467-019-08891-x
43525	Prioritizing Parkinson’s disease genes using population-scale transcriptomic data	使用人群规模的转录组数据对帕金森病基因进行优先排序	Article	"Yang I. Li, Garrett Wong, Jack Humphrey & Towfique Raj "	"Departments of Neuroscience, and Genetics and Genomic Sciences, Ronald M. Loeb Center for Alzheimer’s disease, Icahn School of Medicine at Mount Sinai, New York, 10029, NY, USA"	Nature Communications	12.353	是	https://www.nature.com/articles/s41467-019-08912-9
43525	Rapid one-step 18F-radiolabeling of biomolecules in aqueous media by organophosphine fluoride acceptors	氟化有机磷受体在水介质中快速一步18f -放射性标记生物分子	Article	"Huawei Hong, Lei Zhang, Fang Xie, Rongqiang Zhuang, Donglang Jiang, Huanhuan Liu, Jindian Li, Hongzhang Yang, Xianzhong Zhang, Liming Nie & Zijing Li "	"State Key Laboratory of Molecular Vaccinology and Molecular Diagnostics & Center for Molecular Imaging and Translational Medicine, School of Public Health, Xiamen University, 361102, Xiamen, Fujian, China；State Key Laboratory of Molecular Vaccinology and Molecular Diagnostics & Center for Molecular Imaging and Translational Medicine, School of Public Health, Xiamen University, 361102, Xiamen, Fujian, China"	Nature Communications	12.353	是	https://www.nature.com/articles/s41467-019-08953-0
43525	A chemically fuelled self-replicator	一种化学燃料的自我复制因子	Article	"Sarah M. Morrow, Ignacio Colomer & Stephen P. Fletcher "	"Department of Chemistry, Chemistry Research Laboratory, University of Oxford, Mansfield Road, Oxford, OX1 3TA, UK"	Nature Communications	12.353	是	https://www.nature.com/articles/s41467-019-08885-9
43525	Systematic analysis reveals the prevalence and principles of bypassable gene essentiality	系统分析揭示了旁路基因重要性的普遍性和原则	Article	"Jun Li, Hai-Tao Wang, Wei-Tao Wang, Xiao-Ran Zhang, Fang Suo, Jing-Yi Ren, Ying Bi, Ying-Xi Xue, Wen Hu, Meng-Qiu Dong & Li-Lin Du "	"National Institute of Biological Sciences, 102206, Beijing, China，Tsinghua Institute of Multidisciplinary Biomedical Research, Tsinghua University, 100084, Beijing, China"	Nature Communications	12.353	是	https://www.nature.com/articles/s41467-019-08928-1
43525	A multi-task convolutional deep neural network for variant calling in single molecule sequencing	一种多任务卷积深度神经网络，用于单分子测序中的变异调用	Article	"Ruibang Luo, Fritz J. Sedlazeck, Tak-Wah Lam & Michael C. Schatz "	"Department of Computer Science, The University of Hong Kong, Hong Kong, 999077, China//Department of Computer Science, Johns Hopkins University, Baltimore, 21218, MD, USA"	Nature Communications	12.353	是	https://www.nature.com/articles/s41467-019-09025-z
43525	Purification of cross-linked RNA-protein complexes by phenol-toluol extraction	苯酚-甲苯萃取纯化交联rna -蛋白复合物	Article	"Erika C. Urdaneta, Carlos H. Vieira-Vieira, Timon Hick, Hans-Herrmann Wessels, Davide Figini, Rebecca Moschall, Jan Medenbach, Uwe Ohler, Sander Granneman, Matthias Selbach & Benedikt M. Beckmann "	"IRI Life Sciences, Humboldt University, Philippstr. 13, 10115, Berlin, Germany"	Nature Communications	12.353	是	https://www.nature.com/articles/s41467-019-08942-3
43525	High-resolution characterization of centriole distal appendage morphology and dynamics by correlative STORM and electron microscopy	相关风暴和电子显微镜对中心粒远端附肢形态和动力学的高分辨率表征	Article	"Mathew Bowler, Dong Kong, Shufeng Sun, Rashmi Nanjundappa, Lauren Evans, Veronica Farmer, Andrew Holland, Moe R. Mahjoub, Haixin Sui & Jadranka Loncarek "	"Laboratory of Protein Dynamics and Signaling, NIH/NCI/CCR, Frederick, Maryland, 21702, USA"	Nature Communications	12.353	是	https://www.nature.com/articles/s41467-018-08216-4
43525	Tyrosine phosphorylation activates 6-phosphogluconate dehydrogenase and promotes tumor growth and radiation resistance	酪氨酸磷酸化激活6-磷酸葡萄糖酸脱氢酶，促进肿瘤生长和抗辐射能力	Article	"Ruilong Liu, Wenfeng Li, Bangbao Tao, Xiongjun Wang, Zhuo Yang, Yajuan Zhang, Chenyao Wang, Rongzhi Liu, Hong Gao, Ji Liang & Weiwei Yang "	"State Key Laboratory of Cell Biology, CAS Center for Excellence in Molecular Cell Science, Innovation Center for Cell Signaling Network, Shanghai Institute of Biochemistry and Cell Biology, Chinese Academy of Sciences, University of Chinese Academy of Sciences, 200031, Shanghai, China//Shanghai Key Laboratory of Molecular Andrology, Shanghai Institute of Biochemistry and Cell Biology, Chinese Academy of Sciences, University of Chinese Academy of Sciences, 200031, Shanghai, China"	Nature Communications	12.353	是	https://www.nature.com/articles/s41467-019-08921-8
43525	SFPQ and NONO suppress RNA:DNA-hybrid-related telomere instability	SFPQ和NONO抑制RNA: dna杂交相关端粒不稳定性	Article	"Eleonora Petti, Valentina Buemi, Antonina Zappone, Odessa Schillaci, Pamela Veneziano Broccia, Roberto Dinami, Silvia Matteoni, Roberta Benetti & Stefan Schoeftner "	"Genomic Stability Unit, Laboratorio Nazionale—Consorzio Interuniversitario per le Biotecnologie (LNCIB), Padriciano 99, 34149, Trieste, Italy//Department of Life Sciences, Università degli Studi di Trieste, Via E. Weiss 2, 34127, Trieste, Italy"	Nature Communications	12.353	是	https://www.nature.com/articles/s41467-019-08863-1
43525	TAMM41 is required for heart valve differentiation via regulation of PINK-PARK2 dependent mitophagy	通过调节PINK-PARK2依赖的有丝分裂作用，心脏瓣膜分化需要TAMM41	Article	"Rui Meng Yang, Jiong Tao, Ming Zhan, Hao Yuan, Hai Hong Wang, Sai Juan Chen, Chen Zhu, Hugues de Thé, Jun Zhou, Yin Guo & Jun Zhu "	"Department of Cardiology, Shanghai Children’s Medical Center, School of Medicine, Shanghai Jiao Tong University, Shanghai, 200127, China；CNRS-LIA Hematology and Cancer, Sino-French Research Center for Life Sciences and Genomics, State Key Laboratory of Medical Genomics, Rui Jin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, 200025, China//Université de Paris 7/INSERM/CNRS UMR 944/7212, Equipe Labellisée No. 11 Ligue Nationale Contre le Cancer, H?pital St. Louis, Paris, France"	Cell Death & Differentiation	8	是	https://www.nature.com/articles/s41418-019-0311-z
43525	Therapeutic resistance and susceptibility is shaped by cooperative multi-compartment tumor adaptation	多室协同肿瘤适应形成了治疗的耐药性和易感性	Article	"Jason E. Long, Matthew J. Wongchenko, Dorothee Nickles, Wei-Jen Chung, Bu-er Wang, Johannes Riegler, Ji Li, Jeff Eastham-Anderson, Zora Modrusan, Teemu Junttila, Richard A. D. Carano, Oded Foreman, Yibing Yan & Melissa R. Junttila "	"Department of Translational Oncology, Genentech, Inc., 1 DNA Way, South San Francisco, California, 94080, United States"	Cell Death & Differentiation	8	是	https://www.nature.com/articles/s41418-019-0310-0
43525	A Drosophila model of sleep restriction therapy for insomnia	果蝇睡眠限制治疗失眠模型	Article	"Samuel J. Belfer, Alexander G. Bashaw, Michael L. Perlis & Matthew S. Kayser "	"Department of Neuroscience, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, PA, 19104, USA//Department of Psychiatry, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, PA, 19104, USA//Center for Sleep and Circadian Neurobiology, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, PA, 19104, USA//Chronobiology Program, Perelman School of Medicine at the University of Pennsylvania, Philadelphia, PA, 19104, USA"	Molecular Psychiatry	11.64	是	https://www.nature.com/articles/s41380-019-0376-6
43525	Mechanisms underlying the synaptic trafficking of the glutamate delta receptor GluD1	谷氨酸三角洲受体GluD1突触转运的机制	Article	"Wucheng Tao, Chenxue Ma, Michael A. Bemben, Kathy H. Li, Alma L. Burlingame, Mingjie Zhang & Roger A. Nicoll "	"Department of Cellular and Molecular Pharmacology, University of California, San Francisco, CA, 94143, USA"	Molecular Psychiatry	11.64	是	https://www.nature.com/articles/s41380-019-0378-4
43525	Data-driven biological subtypes of depression: systematic review of biological approaches to depression subtyping	数据驱动的抑郁症生物亚型:抑郁症分型生物学方法的系统性综述	Article	"Lian Beijers, Klaas J. Wardenaar, Hanna M. van Loo & Robert A. Schoevers "	"Department of Psychiatry, Interdisciplinary Center Psychopathology and Emotion Regulation (ICPE), University of Groningen, University Medical Center Groningen, Groningen, The Netherlands"	Molecular Psychiatry	11.64	是	https://www.nature.com/articles/s41380-019-0385-5
43525	Priming Microglia for Innate Immune Memory in the Brain	启动大脑中先天免疫记忆的小胶质细胞	Review	Jonas J. Neher，Colm Cunningham	"German Center for Neurodegenerative Diseases (DZNE), Tu?bingen, Germany//Department of Cellular Neurology, Hertie Institute for Clinical Brain Research, University of Tu?bingen, Tu?bingen, Germany；School of Biochemistry and Immunology, Trinity Biomedical Sciences Institute & Trinity College Institute of Neuroscience, Trinity College Dublin, Ireland"	Trends in Immunology		是	https://www.cell.com/trends/immunology/fulltext/S1471-4906(19)30024-9
43525	Elucidating Peptidoglycan Structure: An Analytical Toolset	阐明肽聚糖结构:一个分析工具集	REVIEW	Sara Porfírio，Russell W. Carlson，Parastoo Azadi	"Complex Carbohydrate Research Center, The University of Georgia, 315 Riverbend Road, Athens, GA, 30602, USA"	Trends in Immunology		是	https://www.cell.com/trends/microbiology/fulltext/S0966-842X(19)30022-8
43526	Scientists Should Disclose Origin in Marine Gene Patents	科学家应该披露起源于海洋基因专利	SCIENCE & SOCIETY	Robert Blasiak，Jean-Baptiste Jouffray，Colette C.C.，Wabnitz，Henrik ?sterblom		Trends in Ecology & Evolution		是	https://www.cell.com/trends/ecology-evolution/fulltext/S0169-5347(19)30051-5
43525	Energy Flow in Growth and Production	生长和生产中的能量流	Opinion	Andrew Clarke	"British Antarctic Survey, High Cross, Madingley Road, Cambridge CB3 0ET, UK"	Trends in Ecology & Evolution		是	https://www.cell.com/trends/ecology-evolution/fulltext/S0169-5347(19)30050-3
43525	Should We Care If Models Are Phenomenological or Mechanistic?	我们应该关心模型是现象学的还是机械学的?	Letter	"Craig R. White,Dustin J. Marshall"	"School of Biological Sciences and Centre for Geometric Biology, Monash University, Clayton, VIC 3800, Australia"	Trends in Ecology & Evolution		是	https://www.cell.com/trends/ecology-evolution/fulltext/S0169-5347(19)30021-7
43525	Disproval of the Starch-Amyloplast Hypothesis?	淀粉淀粉体假说的否定?	SPOTLIGHT	Peter Richter，Sebastian M. Strauch，Michael Lebert	"Department of Biology, Cell Biology Division, Gravitational Biology Group, Friedrich-Alexander-University Erlangen-Nuremberg, Staudtstrasse 5, 91058 Erlangen, Germany"	Trends in Plant Science		是	https://www.cell.com/trends/plant-science/fulltext/S1360-1385(19)30050-0
43525	"Binodal, wireless epidermal electronic systems with in-sensor analytics for neonatal intensive care"	双节，无线表皮电子系统与传感器分析新生儿重症监护	RESEARCH ARTICLE	"Ha Uk Chung1,2,*, Bong Hoon Kim1,3,4,5,*, Jong Yoon Lee4,6,*, Jungyup Lee4,*, Zhaoqian Xie3,7,8,*, Erin M. Ibler9,10, KunHyuck Lee1,3, Anthony Banks1,4,5,11, Ji Yoon Jeong4, Jongwon Kim3,12, Christopher Ogle1,5, Dominic Grande4,6, Yongjoon Yu4, Hokyung Jang4, Pourya Assem6, Dennis Ryu1,5, Jean Won Kwak1,8, Myeong Namkoong1,13, Jun Bin Park4, Yechan Lee4, Do Hoon Kim4, Arin Ryu4, Jaeseok Jeong4, Kevin You4, Bowen Ji3,7,8,14, Zhuangjian Liu15, Qingze Huo3,7,8, Xue Feng16, Yujun Deng7,17, Yeshou Xu7,18, Kyung-In Jang19, Jeonghyun Kim20, Yihui Zhang16, Roozbeh Ghaffari1,5,13, Casey M. Rand10,21, Molly Schau22, Aaron Hamvas21,22,23, Debra E. Weese-Mayer10,21,23, Yonggang Huang3,5,7,8, Seung Min Lee24, Chi Hwan Lee25, Naresh R. Shanbhag6, Amy S. Paller5,9,23,?, Shuai Xu1,5,9,?, John A. Rogers1,3,4,5,8,13,26,27,?"	"Simpson Querrey Institute, Northwestern University, Chicago, IL 60611, USA.//Center for Bio-integrated Electronics, Northwestern University, Evanston, IL 60208, USA."	Science		是	http://science.sciencemag.org/content/363/6430/eaau0780
43525	Revised paleoaltimetry data show low Tibetan Plateau elevation during the Eocene	修订后的古高程资料显示，始新世青藏高原海拔较低	RESEARCH ARTICLE	"Svetlana Botsyun1,2,*, Pierre Sepulchre1, Yannick Donnadieu1,3, Camille Risi4, Alexis Licht5, Jeremy K. Caves Rugenstein6,7"	"1Laboratoire des Sciences du Climat et de l’Environnement (LSCE)/Institute Pierre Simon Laplace (IPSL), Commissariat á l’?nergie Atomique et aux ?nergies Alternatives (CEA)-CNRS–Université de Versailles Saint-Quentin-en-Yvelines (UVSQ), Université Paris-Saclay, Gif-sur-Yvette, France.；2Department of Geosciences, University of Tübingen, Tübingen, Germany."	Science		是	http://science.sciencemag.org/content/363/6430/eaaq1436
43525	Structural basis of cooling agent and lipid sensing by the cold-activated TRPM8 channel	冷却剂的结构基础和冷激活TRPM8通道的脂质传感	RESEARCH ARTICLE	"Ying Yin1, Son C. Le1, Allen L. Hsu2, Mario J. Borgnia1,2, Huanghe Yang1, Seok-Yong Lee1,*"	"1Department of Biochemistry, Duke University School of Medicine, Durham, NC, 27710, USA."	Science		是	http://science.sciencemag.org/content/363/6430/eaav9334
43525	Glutamate signaling at cytoneme synapses	谷氨酸信号在细胞素突触	RESEARCH ARTICLE	"Hai Huang, Songmei Liu, Thomas B. Kornberg*"	"Cardiovascular Research Institute, University of California, San Francisco, San Francisco, CA 94143, USA."	Science		是	http://science.sciencemag.org/content/363/6430/948
43525	Impact craters on Pluto and Charon indicate a deficit of small Kuiper belt objects	冥王星和Charon上的撞击坑表明小型柯伊伯带天体数量不足	RESEARCH ARTICLE	"K. N. Singer1,*, W. B. McKinnon2, B. Gladman3, S. Greenstreet4, E. B. Bierhaus5, S. A. Stern1, A. H. Parker1, S. J. Robbins1, P. M. Schenk6, W. M. Grundy7, V. J. Bray8, R. A. Beyer9,10, R. P. Binzel11, H. A. Weaver12, L. A. Young1, J. R. Spencer1, J. J. Kavelaars13, J. M. Moore10, A. M. Zangari1, C. B. Olkin1, T. R. Lauer14, C. M. Lisse12, K. Ennico10, New Horizons Geology, Geophysics and Imaging Science Theme Team?, New Horizons Surface Composition Science Theme Team?, New Horizons Ralph and LORRI Teams?"	"1Southwest Research Institute, Boulder, CO 80302, USA."	Science		是	http://science.sciencemag.org/content/363/6430/955
43525	Interface and heterostructure design in polyelemental nanoparticles	多元纳米粒子的界面和异质结构设计	RESEARCH ARTICLE	"Peng-Cheng Chen1,2, Mohan Liu1, Jingshan S. Du1,2, Brian Meckes2,3, Shunzhi Wang2,3, Haixin Lin2,3, Vinayak P. Dravid1,2, Chris Wolverton1, Chad A. Mirkin1,2,3,*"	"1Department of Materials Science and Engineering, Northwestern University, Evanston, IL 60208, USA.//2International Institute for Nanotechnology, Northwestern University, Evanston, IL 60208, USA.//3Department of Chemistry, Northwestern University, Evanston, IL 60208, USA."	Science		是	http://science.sciencemag.org/content/363/6430/959
43525	Pantropical climate interactions	泛热带气候的相互作用	REVIEW	"Wenju Cai1,2, Lixin Wu1,*, Matthieu Lengaigne3,4, Tim Li5, Shayne McGregor6,7, Jong-Seong Kug8, Jin-Yi Yu9, Malte F. Stuecker10,11, Agus Santoso2,12, Xichen Li13, Yoo-Geun Ham14, Yoshimitsu Chikamoto15, Benjamin Ng2, Michael J. McPhaden16, Yan Du17,18, Dietmar Dommenget19, Fan Jia20, Jules B. Kajtar21, Noel Keenlyside22,23, Xiaopei Lin1, Jing-Jia Luo24, Marta Martín-Rey25,26, Yohan Ruprich-Robert27, Guojian Wang1,2, Shang-Ping Xie28, Yun Yang29, Sarah M. Kang30, Jun-Young Choi14, Bolan Gan1, Geon-Il Kim8, Chang-Eun Kim8, Sunyoung Kim8, Jeong-Hwan Kim14, Ping Chang31"	"1Key Laboratory of Physical Oceanography–Institute for Advanced Ocean Studies, Ocean University of China and Qingdao National Laboratory for Marine Science and Technology, Yushan Road, Qingdao 266003, China."	Science		是	http://science.sciencemag.org/content/363/6430/eaav4236
43525	Vernier spectrometer using counterpropagating soliton microcombs	使用反传播孤子微梳的游标光谱仪	REPORT	"Qi-Fan Yang1,*, Boqiang Shen1,*, Heming Wang1,*, Minh Tran2, Zhewei Zhang1, Ki Youl Yang1,3, Lue Wu1, Chengying Bao1, John Bowers2, Amnon Yariv1, Kerry Vahala1,?"	"1T. J. Watson Laboratory of Applied Physics, California Institute of Technology, Pasadena, CA 91125, USA."	Science		是	http://science.sciencemag.org/content/363/6430/965
43525	Compact radio emission indicates a structured jet was produced by a binary neutron star merger	紧凑的射电发射表明，一种结构射流是由双子星合并产生的	REPORT	"G. Ghirlanda1,2,3,*, O. S. Salafia1,2,3,*, Z. Paragi4, M. Giroletti5, J. Yang6,7, B. Marcote4, J. Blanchard4, I. Agudo8, T. An9, M. G. Bernardini10,?, R. Beswick11, M. Branchesi12,13, S. Campana1, C. Casadio14, E. Chassande-Mottin15, M. Colpi2,3, S. Covino1, P. D’Avanzo1, V. D’Elia16, S. Frey17, M. Gawronski18, G. Ghisellini1, L. I. Gurvits4,19, P. G. Jonker20,21, H. J. van Langevelde4,22, A. Melandri1, J. Moldon11, L. Nava1, A. Perego3,?, M. A. Perez-Torres8,23, C. Reynolds24, R. Salvaterra25, G. Tagliaferri1, T. Venturi5, S. D. Vergani26, M. Zhang27,28"	"1Istituto Nazionale di Astrofisica–Osservatorio Astronomico di Brera, Via E. Bianchi 46, I-23807 Merate, Italy.//2Dipartimento di Fisica G. Occhialini, Università di Milano-Bicocca, Piazza della Scienza 3, IT-20126 Milano, Italy.//3Sezione di Milano Bicocca, Istituto Nazionale Fisica Nucleare (INFN), Piazza della Scienza 3, 20126 Milano, Italy."	Science		是	http://science.sciencemag.org/content/363/6430/968
43525	Precipitation strengthening of aluminum alloys by room-temperature cyclic plasticity	铝合金室温循环塑性沉淀强化研究	REPORT	"Wenwen Sun1, Yuman Zhu1, Ross Marceau2, Lingyu Wang1, Qi Zhang1, Xiang Gao1, Christopher Hutchinson1,*"	"1Department of Materials Science and Engineering, Monash University, Clayton, VIC 3800, Australia."	Science		是	http://science.sciencemag.org/content/363/6430/972
43525	Coupled ripple oscillations between the medial temporal lobe and neocortex retrieve human memory	内侧颞叶和大脑皮层之间的耦合波痕振荡检索人类记忆	REPORT	"Alex P. Vaz1,2,3, Sara K. Inati4, Nicolas Brunel3,5, Kareem A. Zaghloul1,*"	"1Surgical Neurology Branch, NINDS, National Institutes of Health, Bethesda, MD 20892, USA."	Science		是	http://science.sciencemag.org/content/363/6430/975
43525	Impacts of historical warming on marine fisheries production	历史暖化对海洋渔业生产的影响	REPORT	"Christopher M. Free1,2,*, James T. Thorson3,4, Malin L. Pinsky5, Kiva L. Oken1,6, John Wiedenmann5, Olaf P. Jensen1"	"1Department of Marine and Coastal Sciences, Rutgers University, New Brunswick, NJ, USA.；2Bren School of Environmental Science and Management, University of California, Santa Barbara, Santa Barbara, CA, USA."	Science		是	http://science.sciencemag.org/content/363/6430/979
43525	Motor cortical control of vocal interaction in neotropical singing mice	运动皮层对新热带歌唱小鼠声相互作用的控制	REPORT	"Daniel E. Okobi Jr.1,2,3,*, Arkarup Banerjee1,2,3,*, Andrew M. M. Matheson1,3, Steven M. Phelps4, Michael A. Long1,2,3,?"	"1NYU Neuroscience Institute, New York University Langone Health, New York, NY 10016, USA.//2Department of Otolaryngology, New York University Langone Health, New York, NY 10016, USA.//3Center for Neural Science, New York University, New York, NY 10003, USA."	Science		是	http://science.sciencemag.org/content/363/6430/983
43525	A lipase-independent pathway of lipid release and immune modulation by adipocytes	脂质释放和脂肪细胞免疫调节的脂质独立通路	REPORT	"Stephen E. Flaherty III1,*, Ambar Grijalva1,*, Xiaoyuan Xu1, Eleanore Ables1, Alireza Nomani2, Anthony W. Ferrante Jr.1,?"	"1Department of Medicine, Naomi Berrie Diabetes Center, Columbia University, New York, NY 07043, USA."	Science		是	http://science.sciencemag.org/content/363/6430/989
43525	Epithelial endoplasmic reticulum stress orchestrates a protective IgA response	上皮内质网应激可引起保护性IgA反应	REPORT	"Joep Grootjans1,2,*, Niklas Krupka1,3,*, Shuhei Hosomi1,4,*, Juan D. Matute1,5, Thomas Hanley1, Svetlana Saveljeva6, Thomas Gensollen1, Jarom Heijmans7, Hai Li3, Julien P. Limenitakis3, Stephanie C. Ganal-Vonarburg3, Shengbao Suo8, Adrienne M. Luoma9, Yosuke Shimodaira10, Jinzhi Duan1, David Q. Shih10, Margaret E. Conner11, Jonathan N. Glickman12, Gwenny M. Fuhler13, Noah W. Palm14, Marcel R. de Zoete15, C. Janneke van der Woude13, Guo-Cheng Yuan8, Kai W. Wucherpfennig9, Stephan R. Targan10, Philip Rosenstiel16, Richard A. Flavell14,17, Kathy D. McCoy18, Andrew J. Macpherson3, Arthur Kaser6, Richard S. Blumberg1,?"	"1Division of Gastroenterology, Department of Medicine, Brigham and Women’s Hospital, Harvard Medical School, 75 Francis Street, Boston, MA 02115, USA."	Science		是	http://science.sciencemag.org/content/363/6430/993
